ID	numPRDM9MotifInPeaks
ACCx_TCGA-OR-A5J2-01A	97458
ACCx_TCGA-OR-A5J3-01A	99241
ACCx_TCGA-OR-A5J6-01A	93722
ACCx_TCGA-OR-A5J9-01A	94707
ACCx_TCGA-OR-A5JZ-01A	96868
ACCx_TCGA-OR-A5K8-01A	96330
ACCx_TCGA-OR-A5KX-01A	92193
ACCx_TCGA-PA-A5YG-01A	94143
ACCx_TCGA-PK-A5H8-01A	92957
BLCA_TCGA-BL-A13J-01A	108133
BLCA_TCGA-BL-A3JM-01A	100996
BLCA_TCGA-CF-A1HR-01A	107352
BLCA_TCGA-CF-A3MI-01A	106078
BLCA_TCGA-CU-A3YL-01A	107318
BLCA_TCGA-DK-A1AD-01A	104622
BLCA_TCGA-FD-A3SR-01A	103367
BLCA_TCGA-GD-A3OQ-01A	102880
BLCA_TCGA-GV-A3JW-01A	108190
BLCA_TCGA-H4-A2HO-01C	102915
BRCA_TCGA-3C-AALJ-01A	107377
BRCA_TCGA-4H-AAAK-01A	149435
BRCA_TCGA-A2-A0CX-01A	136865
BRCA_TCGA-A2-A0ES-01A	143865
BRCA_TCGA-A2-A0ET-01A	110231
BRCA_TCGA-A2-A0EV-01A	117570
BRCA_TCGA-A2-A0EW-01A	149892
BRCA_TCGA-A2-A0EX-01A	140056
BRCA_TCGA-A2-A0EY-01A	134169
BRCA_TCGA-A2-A0SV-01A	146855
BRCA_TCGA-A2-A0SW-01A	126052
BRCA_TCGA-A2-A0SX-01A	138943
BRCA_TCGA-A2-A0T4-01A	147406
BRCA_TCGA-A2-A0T5-01A	143235
BRCA_TCGA-A2-A0T6-01A	101664
BRCA_TCGA-A2-A0T7-01A	141791
BRCA_TCGA-A2-A0YC-01A	133866
BRCA_TCGA-A2-A0YD-01A	133659
BRCA_TCGA-A2-A0YF-01A	139655
BRCA_TCGA-A2-A0YG-01A	143986
BRCA_TCGA-A2-A0YH-01A	145673
BRCA_TCGA-A2-A0YJ-01A	141700
BRCA_TCGA-A2-A0YK-01A	128936
BRCA_TCGA-A2-A0YL-01A	141769
BRCA_TCGA-A2-A0YT-01A	139535
BRCA_TCGA-A2-A4RX-01A	143954
BRCA_TCGA-A7-A0CH-01A	141622
BRCA_TCGA-A7-A0D9-01A	139529
BRCA_TCGA-A7-A13E-01A	142040
BRCA_TCGA-A7-A13F-01A	123511
BRCA_TCGA-A8-A06N-01A	131407
BRCA_TCGA-A8-A08J-01A	135309
BRCA_TCGA-A8-A094-01A	144318
BRCA_TCGA-AO-A03L-01A	138350
BRCA_TCGA-AO-A03N-01B	137497
BRCA_TCGA-AO-A0J5-01A	131876
BRCA_TCGA-AO-A0J8-01A	137419
BRCA_TCGA-AO-A0JB-01A	141209
