PRDM9Expression	numPRDM9MotifInPeaks
ACCx_TCGA-OR-A5J2-01A	0	97458
ACCx_TCGA-OR-A5J3-01A	7.37639302803159	99241
ACCx_TCGA-OR-A5J6-01A	0	93722
ACCx_TCGA-OR-A5J9-01A	0	94707
ACCx_TCGA-OR-A5JZ-01A	0	96868
ACCx_TCGA-OR-A5K8-01A	0	96330
ACCx_TCGA-OR-A5KX-01A	0	92193
ACCx_TCGA-PA-A5YG-01A	8.02341035923145	94143
ACCx_TCGA-PK-A5H8-01A	0	92957
BLCA_TCGA-BL-A13J-01A	7.63477699126395	108133
BLCA_TCGA-BL-A3JM-01A	7.19219221004747	100996
BLCA_TCGA-CF-A1HR-01A	0	107352
BLCA_TCGA-CF-A3MI-01A	9.70475388452912	106078
BLCA_TCGA-CU-A3YL-01A	7.93955657310985	107318
BLCA_TCGA-DK-A1AD-01A	11.2858398235871	104622
BLCA_TCGA-FD-A3SR-01A	9.37893432778182	103367
BLCA_TCGA-GD-A3OQ-01A	0	102880
BLCA_TCGA-GV-A3JW-01A	6.54540508798569	108190
BRCA_TCGA-3C-AALJ-01A	8.00269103628359	107377
BRCA_TCGA-4H-AAAK-01A	0	149435
BRCA_TCGA-A2-A0CX-01A	0	136865
BRCA_TCGA-A2-A0ES-01A	0	143865
BRCA_TCGA-A2-A0ET-01A	0	110231
BRCA_TCGA-A2-A0EV-01A	0	117570
BRCA_TCGA-A2-A0EW-01A	0	149892
BRCA_TCGA-A2-A0EX-01A	0	140056
BRCA_TCGA-A2-A0EY-01A	0	134169
BRCA_TCGA-A2-A0SV-01A	0	146855
BRCA_TCGA-A2-A0SW-01A	0	126052
BRCA_TCGA-A2-A0SX-01A	7.38799364828573	138943
BRCA_TCGA-A2-A0T4-01A	0	147406
BRCA_TCGA-A2-A0T5-01A	0	143235
BRCA_TCGA-A2-A0T6-01A	0	101664
BRCA_TCGA-A2-A0T7-01A	0	141791
BRCA_TCGA-A2-A0YC-01A	0	133866
BRCA_TCGA-A2-A0YD-01A	0	133659
BRCA_TCGA-A2-A0YF-01A	0	139655
BRCA_TCGA-A2-A0YG-01A	7.49862219037968	143986
BRCA_TCGA-A2-A0YH-01A	0	145673
BRCA_TCGA-A2-A0YJ-01A	0	141700
BRCA_TCGA-A2-A0YK-01A	0	128936
BRCA_TCGA-A2-A0YL-01A	0	141769
