cancerType	recalled	original	fraction
ACC	90626	90777	0.998336583055179
BLCA	108281	108473	0.998229974279314
BRCA	215871	215978	0.999504579170101
CESC	55869	56125	0.995438752783964
CHOL	67712	68126	0.993923024983119
COAD	122887	122971	0.999316912117491
ESCA	126858	127055	0.998449490378183
GBM	77100	77164	0.999170597688041
HNSC	92745	92907	0.998256320836966
KIRC	94743	94864	0.998724489795918
KIRP	138178	138373	0.99859076553952
LGG	81231	81279	0.999409441553169
LIHC	121246	121607	0.9970314208886
LUAD	139082	139245	0.998829401414772
LUSC	117609	117785	0.998505752005773
MESO	78425	78548	0.998434078525233
PCPG	87307	87425	0.998650271661424
PRAD	112365	112453	0.999217450846131
SKCM	102461	102675	0.997915753591429
STAD	121443	121582	0.998856738661973
TGCT	74365	74436	0.999046160459993
THCA	93773	93856	0.999115666553017
UCEC	104590	104749	0.998482085747835
